name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
A.Butler,00-0033381,no,NE,DT,8,0,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Chung,00-0027010,no,NE,SS,11,0,1,0,68,0,0,0,2,0,,,,,,,,,,4,4,0,1,0,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
D.Wise,00-0033947,no,NE,DE,10,0,0,5.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Rowe,00-0031555,no,NE,CB,1,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0023436,no,KC,QB,,,,,,1,3,2,3,-2,,,,,,,,,,,,,,,505,341,5,26,1,0,4042,,,,,,,,,,,,,,,,,,60,222,1,1,1,0,355
K.Hunt,00-0033923,no,KC,N/A,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,81,53,3,0,0,455,272,427,168,8,0,0,1327
C.West,00-0030668,no,KC,RB,,,,,,0,1,1,1,0,,,,,,,,,,18,19,0,2,0,,,,,,,,,,,,,,,,,,93,8,27,2,0,0,150,18,52,34,2,0,0,72
D.Thomas,00-0031060,no,KC,WR,,,,,,0,0,1,1,0,,,,,,,,,,173,188,0,13,0,,,,,,,,,,,,,8,20,0,8,0,116,67,14,2,0,0,143,1,4,0,0,0,0,4
T.Hill,00-0033040,no,KC,WR,,,,,,0,2,2,2,0,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,107,200,82,25,1,616,368,75,7,0,0,1183,17,60,0,0,0,0,59
T.Kelce,00-0030506,no,KC,TE,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,,,,,,357,118,83,8,0,0,1038,2,7,0,0,0,0,7
A.Wilson,00-0030669,no,KC,WR,,,,,,,,,,,,,,,,,,,,18,18,0,1,0,,,,,,,,,,,,,,,,,,266,88,42,3,0,0,554,3,6,0,0,0,0,6
D.Harris,00-0030155,no,KC,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,7,18,1,1,0,224,,,,,,,
C.Conley,00-0032128,no,KC,WR,,,,,,,,,,,,,,,,,,,,8,8,0,1,0,,,,,,,,,,,,,,,,,,100,0,11,0,0,0,175,,,,,,,
C.Santos,00-0031203,no,KC,K,,,,,,,,,,,5,4,111,12,14,0,14,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Colquitt,00-0023534,no,KC,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,29,887,65,2936,,,,,,,,,,,,,,,,,,,
R.Miller,00-0027055,no,KC,DT,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mitchell,00-0031097,no,KC,DB,5,0,4,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Gaines,00-0031015,no,KC,CB,6,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Murray,00-0033038,no,KC,CB,4,0,0,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Bailey,00-0028024,no,KC,DE,16,0,0,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Johnson,00-0023449,no,KC,ILB,24,1,0,0,48,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Peters,00-0032165,no,KC,CB,4,4,5,0,42,0,0,0,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Zombo,00-0027442,no,KC,OLB,17,0,0,1.5,22,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Parker,00-0028445,no,KC,FS,8,0,2,0,59,0,0,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Berry,00-0027858,no,KC,SS,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Ford,00-0031297,no,KC,OLB,3,1,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Houston,00-0028008,no,KC,OLB,13,0,0,9.5,45,0,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Logan,00-0030507,no,KC,DT,17,0,0,1.5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sorensen,00-0030665,no,KC,DB,22,0,1,1.5,66,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
T.Taylor,00-0028118,no,BUF,QB,,,,,,2,0,4,0,-7,,,,,,,,,,,,,,,420,263,4,14,0,0,2799,,,,,,,,,,,,,,,,,,84,205,13,4,0,0,427
L.McCoy,00-0027029,no,BUF,RB,,,,,,1,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,28,59,2,0,0,448,287,313,107,6,0,0,1138
M.Tolbert,00-0026069,no,BUF,FB,,,,,,1,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,14,0,0,0,78,66,110,1,1,0,0,247
N.O'Leary,00-0032117,no,BUF,TE,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,33,22,2,0,0,322,,,,,,,
C.Clay,00-0028112,no,BUF,TE,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,7,49,2,0,0,558,,,,,,,
A.Holmes,00-0028263,no,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,9,13,3,0,0,120,,,,,,,
J.Matthews,00-0031299,no,BUF,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,9,25,1,0,0,282,,,,,,,
Z.Jones,00-0033891,no,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,21,27,2,0,0,316,,,,,,,
P.DiMarco,00-0028581,no,BUF,RB,,,,,,,,,,,,,,,,,,,,24,24,0,1,0,,,,,,,,,,,,,,,,,,16,0,7,0,0,0,28,2,-2,0,0,0,0,-2
S.Hauschka,00-0025944,no,BUF,K,,,,,,,,,,,33,29,606,87,29,0,29,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Schmidt,00-0030551,no,BUF,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,28,852,79,3529,,,,,,,,,,,,,,,,,,,
B.Tate,00-0027057,no,BUF,WR,,,,,,0,1,1,1,0,,,,,,,,,,213,255,0,28,0,,,,,,,,,,,,,68,126,0,20,0,69,12,6,1,0,0,81,,,,,,,
E.Gaines,00-0031394,no,BUF,DB,11,2,1,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Brown,00-0031171,no,BUF,ILB,61,0,0,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Hyde,00-0030090,no,BUF,SS,17,0,5,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,0,2,0,,,,,,,,,,,,,,
L.Alexander,00-0023259,no,BUF,OLB,12,2,0,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Johnson,00-0029087,no,BUF,DB,11,1,0,0,40,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Humber,00-0026672,no,BUF,LB,28,1,0,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.White,00-0033884,no,BUF,CB,17,1,4,0,53,0,0,0,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Yarbrough,00-0032480,no,BUF,DE,12,0,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Lawson,00-0033096,no,BUF,DE,15,1,0,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Washington,00-0033037,no,BUF,DE,11,0,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Williams,00-0024348,no,BUF,DE,22,0,0,3,20,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1
J.Hughes,00-0027881,no,BUF,DE,16,1,0,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Poyer,00-0030114,no,BUF,FS,32,0,5,2,63,0,0,0,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.McCown,00-0021206,no,NYJ,QB,,,,,,4,6,11,6,-8,,,,,,,,,,,,,,,398,268,9,18,1,0,2926,,,,,,,,,,,,,,,,,,37,98,13,5,0,0,124
M.Forte,00-0026184,no,NYJ,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,11,38,1,0,0,293,103,127,10,2,0,0,381
B.Powell,00-0028064,no,NYJ,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,0,23,0,0,0,170,178,345,136,5,0,0,772
W.Tye,00-0032004,no,NYJ,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,4,0,0,0,38,,,,,,,
J.Kearse,00-0029159,no,NYJ,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,90,65,5,1,0,810,,,,,,,
A.Stewart,00-0033916,no,NYJ,WR,,,,,,,,,,,,,,,,,,,,100,112,0,9,0,,,,,,,,,,,,,,,,,,80,0,6,0,0,0,82,7,25,0,0,0,0,27
E.Tomlinson,00-0031690,no,NYJ,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,20,8,1,0,0,121,,,,,,,
R.Anderson,00-0032688,no,NYJ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,228,63,7,1,0,941,3,9,0,0,0,0,9
K.Raymond,00-0032464,no,NYJ,WR,,,,,,1,4,5,4,0,,,,,,,,,,120,131,0,14,0,,,,,,,,,,,,,37,81,0,18,0,12,0,1,0,0,0,12,1,-1,0,0,0,0,-1
C.Catanzaro,00-0030896,no,NYJ,K,,,,,,,,,,,30,25,561,75,29,0,29,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Edwards,00-0032449,no,NYJ,P,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,31,639,33,907,94,4379,,,,,,,,,,,,,,,,,,,
D.Davis,00-0029607,no,NYJ,LB,36,0,0,4.5,97,0,0,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Stanford,00-0029061,no,NYJ,ILB,2,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Lee,00-0033147,no,NYJ,ILB,27,2,0,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Pennel,00-0030757,no,NYJ,DE,15,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jenkins,00-0032970,no,NYJ,OLB,16,1,0,3,30,0,0,0,2,0,,,,,,,,,,7,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Martin,00-0030160,no,NYJ,LB,10,0,0,1.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.McLendon,00-0026564,no,NYJ,DT,16,0,0,1.5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Skrine,00-0028075,no,NYJ,CB,7,2,1,1,56,0,0,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Maye,00-0033892,no,NYJ,SAF,22,1,2,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Wilkerson,00-0027968,no,NYJ,DE,20,0,1,3.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brooks,00-0031338,no,NYJ,DB,2,0,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja.Adams,00-0033872,no,NYJ,SAF,19,1,0,2,64,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Ealy,00-0031336,no,NYJ,DE,3,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Williams,00-0031933,no,NYJ,NT,25,0,1,2.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Burris,00-0032403,no,NYJ,CB,0,1,1,0,18,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Pelon,00-0032699,no,NYJ,DE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Donahue,00-0033961,no,NYJ,LB,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Claiborne,00-0029676,no,NYJ,DB,9,0,1,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Glennon,00-0030520,no,CHI,QB,,,,,,3,3,5,3,-1,,,,,,,,,,,,,,,140,93,5,4,0,0,833,,,,,,,,,,,,,,,,,,4,2,0,0,0,0,4
M.Burton,00-0031595,no,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,2,0,0,0,8,4,9,0,0,0,0,9
T.Cohen,00-0033556,no,CHI,RB,,,,,,2,0,3,0,0,,,,,,,,,,213,273,0,26,0,2,1,0,1,0,0,21,,,,,,127,205,61,29,1,223,19,53,1,0,0,358,87,189,16,2,0,0,370
Jo.Howard,00-0032780,no,CHI,RB,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,23,0,0,0,125,276,327,75,9,0,0,1120
K.White,00-0031545,yes,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,2,0,0,0,6,,,,,,,
D.Sims,00-0030422,no,CHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,27,15,1,0,0,180,,,,,,,
Z.Miller,00-0027125,no,CHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,41,20,2,0,0,236,,,,,,,
J.Bellamy,00-0029319,no,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,46,24,1,0,0,376,1,6,0,0,0,0,6
K.Wright,00-0029708,no,CHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,5,59,1,1,0,614,,,,,,,
D.Thompson,00-0029388,no,CHI,WR,,,,,,0,0,1,0,0,,,,,,,,,,108,122,0,11,0,,,,,,,,,,,,,,,,,,290,40,38,2,0,0,555,2,-5,0,0,0,0,-5
R.Robertson-Harris,00-0032667,no,CHI,DE,4,0,0,2,7,0,1,0,1,0,,,,,,,,,,7,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Barth,00-0026138,no,CHI,K,,,,,,,,,,,15,11,253,33,17,0,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.O'Donnell,00-0031079,no,CHI,P,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,38,649,27,945,87,4087,,,,,,,,,,,,,,,,,,,
B.Cunningham,00-0029795,no,CHI,RB,,,,,,1,0,1,0,0,,,,,,,,,,111,118,0,7,0,,,,,,,,,,,,,,,,,,166,47,20,2,0,0,240,9,15,0,0,0,0,29
L.Floyd,00-0033072,no,CHI,OLB,9,0,0,5.5,24,0,0,0,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Kwiatkoski,00-0032773,no,CHI,ILB,10,1,0,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Cooper,00-0030127,no,CHI,DB,0,0,0,0,15,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Freeman,00-0025920,yes,CHI,ILB,3,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Young,00-0027808,no,CHI,OLB,3,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Acho,00-0028041,no,CHI,OLB,13,1,0,3.0,27,,,,,,,,,,,,,,,3,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hicks,00-0029657,no,CHI,DE,14,0,0,8.5,39,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Fuller,00-0031041,no,CHI,CB,8,0,2,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Unrein,00-0027573,no,CHI,DE,8,0,0,1.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Trevathan,00-0029577,no,CHI,ILB,30,1,1,2,61,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Jackson,00-0033784,no,CHI,N/A,16,1,2,0,53,0,0,0,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,2,0,,,,,,,,,,,,,,
B.Callahan,00-0031904,no,CHI,CB,5,1,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,59,1,1,,,,,,,,,,,,,,
E.Goldman,00-0031551,no,CHI,NT,15,0,0,1.5,28,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.Demps,00-0026257,no,CHI,SS,1,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,,,,,,3,1,4,1,-4,,,,,,,,,,,,,,,529,342,12,20,0,0,4095,,,,,,,,,,,,,,,,,,32,108,0,0,1,0,143
D.Freeman,00-0031285,no,ATL,RB,,,,,,1,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,19,36,1,0,0,317,196,235,42,7,0,0,865
T.Coleman,00-0032058,no,ATL,RB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,36,27,3,0,0,299,156,249,22,5,0,0,630
A.Hooper,00-0032392,no,ATL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,90,49,3,0,0,526,,,,,,,
T.Gabriel,00-0031228,no,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,40,33,1,0,0,378,8,49,0,0,0,0,49
Ju.Jones,00-0027944,no,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,52,88,3,0,0,1444,1,15,0,0,0,0,15
M.Sanu,00-0029632,no,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,51,,,,,,,,,,,254,28,67,5,0,0,703,4,10,0,0,0,0,10
M.Bryant,00-0020578,no,ATL,K,,,,,,,,,,,37,34,728,102,35,0,35,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bosher,00-0028130,no,ATL,P,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,649,19,834,53,2379,,,,,,,,,,,,,1,0,0,0,0,0,0
A.Roberts,00-0027691,no,ATL,WR,,,,,,1,2,4,2,0,,,,,,,,,,308,420,0,38,0,,,,,,,,,,,,,85,143,0,27,0,12,0,1,0,0,0,12,,,,,,,
D.Kazee,00-0033512,no,ATL,CB,7,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.McKinley,00-0033540,no,ATL,DE,5,2,0,6,15,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Poole,00-0032596,no,ATL,CB,15,0,0,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Alford,00-0030528,no,ATL,CB,7,0,1,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
